"Alias","TotalInProgressDuration","TotalIdleDuration","OverallDuration","TotalQueuedDuration","TotalDataReplicationWaitDuration","TotalSuspendedDuration","SourceProviderDuration","DestinationProviderDuration","RelinquishedDurationInTicks","TotalStalledDueToCIInTicks","TotalStalledDueToHAInTicks","TotalStalledDueToTargetCpuInTicks","TotalStalledDueToSourceCpuInTicks","TotalStalledDueToMailboxLockedDurationInTicks","TotalStalledDueToSourceProxyUnknownInTicks","TotalStalledDueToTargetProxyUnknownInTicks","SourceLatencySampleCount","AverageSourceLatency","TotalNumberOfSourceSideRemoteCalls","DestinationLatencySampleCount","AverageDestinationLatency","TotalNumberOfDestinationSideRemoteCalls","WordBreaking_TotalTimeProcessingMessagesInTicks","TotalTransientFailureDurationInTicks","TotalInProgressDurationInTicks","MailboxSizeInMB","TransferredMailboxSizeInMB","PerMoveRate","BytesTransferredInMB","PerMoveTransferRate"
"gemnrkl1dcnorrkoping","01:08:13.5465278","17:12:47.3538807","2.20:19:27.3825368","19:20:21.2913010",,"1.04:53:17.6371299","00:06:18.1148635","00:45:20.2342040","682549075781",,,"0","0","0","0","0","0","0","0","0","0","0","4022768497","0","40935465278","3094,15972423553","2939,45173802376","2585,05092955976","3154,48861122131","2774,16145713137"
"ktn05","05:29:34.1137214","03:55:14.7372105","2.20:17:50.1635732","13:14:08.8415499",,"1.22:18:29.0061001","00:19:08.2044829","04:28:41.8885918","117382022018",,,"0","0","0","0","0","0","0","0","0","0","0","9728139473","0","197741137214","14410,5669698715","13690,0386213779","2492,35640754024","14387,7850370407","2619,3854684517"
"eae05","01:09:06.5250505","01:56:12.0938214","2.20:15:41.0851730","13:23:01.9677782",,"2.04:01:13.8295350","00:03:00.2661008","00:51:34.1184657","61387628093",,,"0","0","0","0","0","0","0","0","0","0","0","3185375631","0","41465250505","2987,47353744507","2838,09986057282","2464,02936763402","2988,96805000305","2595,01265492499"
"tki06","02:39:50.7922994","1.08:31:25.4342995","2.20:26:39.2897289","19:34:03.0000414",,"12:52:24.4563263","00:09:02.8176049","01:59:48.8700604","1200210410618",,,"0","0","0","0","0","0","0","0","0","0","0","11632776172","0","95907922994","5763,01431274414","5474,86359710693","2055,04491540475","5767,59965419769","2164,92632797508"
"jon07","03:45:21.8058139","2.03:58:07.1893863","2.20:34:08.1969359","07:17:47.5148905",,"04:32:48.4326388","00:09:21.1485833","02:35:00.8249967","1906904435927",,,"0","0","0","0","0","0","0","0","0","0","0","15738687489","0","135218058139","17152,4097747803","9433,82537612915","2511,62986819063","7584,58849811554","2019,2952752766"
"mcd06","00:03:46.6871340","00:04:50.3414349","2.20:53:29.4807063","00:00:02.9040271",,"2.20:45:34.7558099","00:00:11.0042862","00:02:41.7665390","2451337353",,,"0","0","0","0","0","0","0","0","0","0","0","151453992","0","2266871340","123,59120464325","117,411644411087","1864,6048076108","125,445724487305","1992,19338206595"
"sug07","04:45:48.3686616","2.00:26:53.0663899","2.20:33:23.7124659","10:56:59.2579238",,"04:35:23.1051112","00:19:24.2108446","03:36:34.4614892","1737129807693",,,"0","0","0","0","0","0","0","0","0","0","0","30761092989","0","171483686616","9416,82151126862","8851,8122205925","1858,28311852725","9452,86382484436","1984,46338779986"
"onj07","03:14:19.2993045","1.20:23:40.0404647","2.20:33:15.5874406","05:55:44.8012290",,"12:25:52.1091519","00:14:15.6997004","02:08:26.6186444","1690393777552",,,"438282176","0","0","0","0","0","0","0","0","0","0","13023491260","0","116592993045","6105,6296672821","5800,348183918","1790,95269078867","6226,88313865662","1922,65235789186"
"rkp03","02:53:03.7443757","1.08:28:44.1023338","2.20:22:33.4141907","17:03:04.0345711",,"14:31:26.4805847","00:10:54.9775442","02:09:55.1738513","1220991546592",,,"0","0","0","0","0","0","0","0","0","0","0","13959525869","0","103837443757","5416,49183177948","5145,66724019051","1783,9809412139","5465,89031124115","1895,00091763783"
"jjo05","02:24:10.5862075","1.08:57:27.3446127","2.20:25:52.5239828","09:52:46.5193106",,"20:05:09.0550653","00:10:45.6809658","01:42:45.3329867","1298263633994",,,"0","0","0","0","0","0","0","0","0","0","0","12400898938","0","86505862075","4454,94471931458","4232,19748334885","1761,25762747112","4532,90061092377","1886,39726925992"
